,OBJECTID,CalSim_ID,Riv_Mi,Riv_Name,Comment,C2VSIM_GW,C2VSIM_SW,CalSim2_ID,Type,Sub_Type,Nrest_Gage,Strm_Code,RM_II,HR,geometry
32,33.0,SAC078,78.0,Sacramento River,Natomas Central MWC diversion point (Pritchard Lake Pump Station),362,370,162,CH,STM,,SAC,78.0,SAC,POINT (-121.60430247814328 38.730565853100025)
33,34.0,SAC074,73.63,Sacramento River,RD2035 Diversion/Pump Station,,,,CH,STM,,SAC,74.0,SAC,POINT (-121.62984511315369 38.67664908521976)
34,35.0,SAC066,66.0,Sacramento River,Sacramento Weir spill to Yolo Bypass. USGS11426000/DWRA02903,372,372,165,CH,SG,11426000,SAC,66.0,SAC,POINT (-121.55546347664061 38.604740910468735)
35,36.0,SAC063,62.9,Sacramento River,American River confluence,373,373,166,CH,STM,,SAC,63.0,SAC,POINT (-121.50875277147026 38.59711300428754)
36,37.0,SAC062,62.51,Sacramento River,Sacramento WTP diversion,,,,CH,STM,,SAC,62.0,SAC,POINT (-121.50707442631301 38.59167357403062)
37,38.0,SAC057,57.0,Sacramento River,C2VSIM Node,416,382,167,CH,STM,,SAC,57.0,SAC,POINT (-121.5287898933632 38.52556912284968)
38,39.0,SAC053,53.0,Sacramento River,C2VSIM Node,435,383,168,CH,STM,,SAC,53.0,SAC,POINT (-121.55223399469746 38.48838571434124)
39,40.0,SAC048,48.0,Sacramento River,C2VSIM Node.,451,384,169,CH,STM,,SAC,48.0,SAC,POINT (-121.50171450821776 38.44345315703685)
40,41.0,WTPEDH,,,El Dorado Hills Water Treatment Plant,,,,WTP,NA,,,,SAC,POINT (-121.08689802145312 38.72325436635337)
41,42.0,ELDID,,,El Dorado ID (Off-Model Node),,,,OM,OMD,,,,SAC,POINT (-121.06011037175779 38.68325496544324)
42,43.0,EDWWTP,,,El Dorado Hills Wastewater Treatment Facility,,,,WWTP,NA,,,,SAC,POINT (-121.05943190348184 38.63722140913781)
43,44.0,26N_NU3,,,City of Sacramento north of American River,,,,PR,U,,,,SAC,POINT (-121.45699755692657 38.64690389939985)
44,45.0,BRR023,23.22,Bear River,Garden Bar Proposed Damsite,,,,CH,STM,,BRR,23.0,SAC,POINT (-121.23976145036534 39.022208015712465)
45,46.0,BRR028,28.0,Bear River,Conceptual CalSimII node representation,,,288,CH,STM,,BRR,28.0,SAC,POINT (-121.1744417663076 39.018861951340995)
46,47.0,SAC041,41.0,Sacramento River,"C2VSIM Node at Hood. DWR 'SRD"" gage at Hood.  USGS11447810 at MP38.8",463,385,400,CH,SG,11447810,SAC,41.0,SAC,POINT (-121.52125275253833 38.36741436572757)
47,48.0,SAC036,36.0,Sacramento River,C2VSIM Node,475,386,,CH,STM,,SAC,36.0,SAC,POINT (-121.57752604483353 38.317890281796295)
48,49.0,SAC030,29.72,Sacramento River,Delta Cross Channel diversion,476,387,415,CH,STM,,SAC,30.0,SAC,POINT (-121.51064829764563 38.24705944381203)
49,50.0,SAC022,22.0,Sacramento River,C2VSIM Node,493,388,,CH,STM,,SAC,22.0,SAC,POINT (-121.58688716993164 38.181650689512026)
50,51.0,SAC017,16.75,Sacramento River,Yolo Bypass/Lindsey-Barker Slough confluence??,492,389,402404,CH,STM,,SAC,17.0,SAC,POINT (-121.66747214972396 38.17575047097473)
51,52.0,SAC007,7.0,Sacramento River,C2VSIM Node,526,415,,CH,STM,,SAC,7.0,SAC,POINT (-121.77511056194344 38.07068255609863)
52,53.0,SAC003,3.0,Sacramento River,C2VSIM Node,525,416,,CH,STM,,SAC,3.0,SAC,POINT (-121.84284147475536 38.06637296826077)
53,54.0,SAC000,0.0,San Joaquin River,Sacramento/San Joaquin confluence??,531,204,Update,CH,STM,,SAC,0.0,SAC,POINT (-121.89058559352895 38.0459754637337)
54,55.0,OMR027,27.26,Old/Middle Rivers,Conceptual common diversion for Banks and Jones (formerly Tracy) Pumping Stations,,,Update,CH,STM,,OMR,27.0,SAC,POINT (-121.55233401198699 37.8295805795633)
55,56.0,CAA000,0.0,California Aqueduct,Clifton Court Forebay,,,800,CH,CNL,,CAA,0.0,SAC,POINT (-121.59392532199246 37.83765068989267)
56,57.0,DMC003,2.52,Delta-Mendota Canal,"C2VSIM node. C.W. ""Bill"" Jones (formerly Tracy) Pumping Plant",590,,S5,CH,CNL,,DMC,3.0,SJR,POINT (-121.58536653630888 37.79667361631179)
57,58.0,CLR009,9.0,Clear Creek,Return from 2_PA,,,,CH,STM,,CLR,9.0,SAC,POINT (-122.50147069952499 40.501405941243846)
58,59.0,WTPTAB,,,Travis AFB Water Treatment Plant,,,,WTP,NA,,,,SAC,POINT (-121.94913059174081 38.28375775157086)
59,60.0,TVAFB,,,Travis Air Force Base,,,,OM,OMD,,,,SAC,POINT (-121.94844007410305 38.2579275139284)
60,61.0,FRFLD,,,City of Fairfield,,,,OM,OMD,,,,SAC,POINT (-122.04703254578828 38.27174577407052)
61,62.0,SUISN,,,Suisun City,,,,OM,OMD,,,,SAC,POINT (-122.01853374684445 38.280224791497204)
62,63.0,NAPA,,,"Napa, Yountville, Calistoga",,,,OM,OMD,,,,SAC,POINT (-122.28631252146303 38.27054269418318)
63,64.0,AMCYN,,,City of American Canyon,,,,OM,OMD,,,,SAC,POINT (-122.25662202152799 38.182641419194475)
64,65.0,VLLJO,,,City of Vallejo,,,,OM,OMD,,,,SAC,POINT (-122.2409825355743 38.11523674080409)
65,66.0,CLR011,10.61,Clear Creek,Near USGS Gage - 11372000,,,,CH,SG,11372000,CLR,11.0,SAC,POINT (-122.52501245826156 40.51246217208321)
66,67.0,WKYTN,18.0,Clear Creek,Whiskeytown Dam,,,S3,STR,SIM,,,,SAC,POINT (-122.53971014320636 40.59967581840557)
67,68.0,COW003,3.0,Cow Creek,C2VSIM Node near USGS Gage - 11374000,017,213,,CH,SG,11374000,COW,3.0,SAC,POINT (-122.23303097857381 40.5033060817407)
68,69.0,COW007,7.48,Cow Creek,Confluence of Cow Creek and Little Cow Creek downstream of Little Cow Creek USGS Gage - 11373500,011,212,,CH,STM,11373500,COW,7.0,SAC,POINT (-122.231260588078 40.55542800622463)
69,70.0,COW014,14.0,Cow Creek,C2VSIM Node downstream of USGS Gage - 11372200,012,211,,CH,STM,11372200,COW,14.0,SAC,POINT (-122.14604150260357 40.543004331519654)
70,71.0,CWD004,4.0,Cottonwood Creek,C2VSIM Node downstream of USGS Gage - 11375970,036,218,I_108,CH,STM,,CWD,4.0,SAC,POINT (-122.25853764666829 40.37873441406792)
71,72.0,CWD009,8.5,Cottonwood Creek,Confluence South Fork Cottonwood Creek downstream of USGS Gage - 11375815,,,,CH,STM,11375815,CWD,9.0,SAC,POINT (-122.32785860536477 40.372856454816564)
72,73.0,PYN001,0.45,Paynes Creek,C2VSIM Node near USGS Gage - 11377500,046,225,I_110,CH,SG,11377500,PYN,1.0,SAC,POINT (-122.18658591663328 40.26353544388347)
73,74.0,ANT010,10.0,Antelope Creek,C2VSIM Node near USGS Gage - 11379000. About 0.5mi upstream of diversion dam,073,233,,CH,STM,11379000,ANT,10.0,SAC,POINT (-122.13333996166743 40.19498148664498)
74,75.0,MLC004,4.0,Mill Creek,C2VSIM Node,087,244,,CH,STM,,MLC,4.0,SAC,POINT (-122.05442976278859 40.05190539638866)
75,76.0,MLC006,5.68,Mill Creek,C2VSIM Node above USGS Gage - 11381500,088,243,,CH,SG,11381500,MLC,6.0,SAC,POINT (-122.0241751500431 40.05467915991242)
76,77.0,ELD005,5.0,Elder Creek,C2VSIM Node,085,241,,CH,STM,,ELD,5.0,SAC,POINT (-122.18521641823864 40.05104953449756)
77,78.0,ELD012,12.0,Elder Creek,C2VSIM Node near USGS Gage - 11380000,084,240,,CH,STM,11380000,ELD,12.0,SAC,POINT (-122.29090059894185 40.031680982615796)
78,79.0,DEE023,22.92,Deer Creek (South),,,,,CH,SG,11335700,DEE,23.0,SJR,POINT (-121.11010220382991 38.55131727299827)
79,80.0,02_SA,,,,,,,S,A,,,,SAC,POINT (-122.25217385285016 40.41636438206767)
80,81.0,SHSTA,309.52,Sacramento River,Shasta Dam. Also represents historic flows from Sacramento River at Kennett. USGS11369500/DWRA2160,,,S4,STR,SIM,11369500,,,SAC,POINT (-122.41882126379987 40.718189672556235)
81,82.0,KSWCK,299.39,Sacramento River,Keswick Dam,,,,STR,SIM,,,,SAC,POINT (-122.44610283161866 40.6120114707312)
82,83.0,SAC296,295.77,Sacramento River,ACID Diversion Dam,001,205,,CH,STM,,SAC,296.0,SAC,POINT (-122.39433655093639 40.59242513557633)
83,84.0,SAC294,293.54,Sacramento River,BVWD Wintu Pump Station,005,206,103,CH,STM,,SAC,294.0,SAC,POINT (-122.36990328022034 40.59214204041661)
84,85.0,SAC287,286.55,Sacramento River,Clear Creek Confluence,015,208,105,CH,STM,,SAC,287.0,SAC,POINT (-122.36512612477323 40.505500162167735)
85,86.0,SAC281,281.0,Sacramento River,C2VSIM Node,022,209,,CH,STM,,SAC,281.0,SAC,POINT (-122.28803634836208 40.47031715925463)
86,87.0,SAC277,277.39,Sacramento River,Cow Creek Confluence,023,210,,CH,STM,,SAC,277.0,SAC,POINT (-122.23086814663087 40.46344013909164)
87,88.0,SAC275,274.88,Sacramento River,Bear Creek Confluence,029,216,,CH,STM,,SAC,275.0,SAC,POINT (-122.20387188056127 40.43521106336229)
88,89.0,SAC269,268.54,Sacramento River,Cottonwood Creek/Battle Creek Confluences (Cottonwood actually 2mi upstream)??,037,217,108,CH,STM,,SAC,269.0,SAC,POINT (-122.17606759964237 40.354685448379804)
89,90.0,SAC265,265.0,Sacramento River,C2VSIM Node,045,223,109,CH,STM,,SAC,265.0,SAC,POINT (-122.20773107179882 40.32182076504848)
90,91.0,SAC259,259.0,Sacramento River,C2VSIM Node,056,224,,CH,STM,,SAC,259.0,SAC,POINT (-122.16178014970258 40.301731246274834)
91,92.0,SAC250,249.87,Sacramento River,Paynes Creek Confluence,067,229,110,CH,STM,,SAC,250.0,SAC,POINT (-122.18720597518458 40.25908648960528)
92,93.0,SAC247,247.25,Sacramento River,C2VSIM Node,068,230,,CH,SG,11378000,SAC,247.0,SAC,POINT (-122.18225785283589 40.2319971009585)
93,94.0,SAC240,240.0,Sacramento River,Red Bluff Diversion Dam to TCC and CCL near USGS Gage - 11378930,072,231,112,CH,STM,11378930,SAC,240.0,SAC,POINT (-122.20310726813868 40.153325002089574)
94,95.0,03_PU3,,,"City of Redding ""Buckeye""",,,,PR,U,,,,SAC,POINT (-122.39601146337547 40.640393925580554)
95,96.0,BCN005,5.0,Bear Creek,,,,,CH,STM,,BCN,5.0,SAC,POINT (-122.1555775490226 40.48122820797501)
96,97.0,CWD003,2.72,Cottonwood Creek,,,,,CH,SG,11376000,CWD,3.0,SAC,POINT (-122.23922706428763 40.38679287688084)
97,98.0,ELD017,17.0,Elder Creek,C2VSIM Node,083,239,,CH,STM,,ELD,17.0,SAC,POINT (-122.37303613256002 40.01826572426103)
98,99.0,ELD022,22.0,Elder Creek,C2VSIM Node,082,238,,CH,STM,,ELD,22.0,SAC,POINT (-122.44153645412317 40.01906003277035)
99,100.0,ELD027,26.69,Elder Creek,Elder Creek Nr Pakenta,081,237,,CH,SG,11379500,ELD,27.0,SAC,POINT (-122.51046130958188 40.02464470658074)
100,101.0,THM005,5.0,Thomes Creek,C2VSIM/CalSIM2 Node near USGS Gage - 11382100,093,252,l_113,CH,STM,11382100,THM,5.0,SAC,POINT (-122.17820469784164 39.97845739802306)
101,102.0,THM012,12.0,Thomes Creek,C2VSIM Node,092,251,,CH,STM,,THM,12.0,SAC,POINT (-122.28788783764016 39.96768126851527)
102,103.0,THM017,17.0,Thomes Creek,C2VSIM Node,091,250,,CH,STM,,THM,17.0,SAC,POINT (-122.36634471522137 39.94970268529931)
103,104.0,THM021,21.0,Thomes Creek,C2VSIM Node,101,249,,CH,STM,,THM,21.0,SAC,POINT (-122.42430169103935 39.92135438708271)
104,105.0,THM028,27.8,Thomes Creek,Thomes Creek at Pakenta,,,,CH,SG,11382000,THM,28.0,SAC,POINT (-122.52768256102514 39.887189904814925)
105,106.0,DRC012,12.0,Deer Creek,Deer Creek near Vina,,,,CH,SG,11383500,DRC,12.0,SAC,POINT (-121.94593765725845 40.01366344937351)
106,107.0,BCC004,4.0,Big Chico Creek,C2VSIM Node,130,271,,CH,STM,,BCC,4.0,SAC,POINT (-121.89365576910362 39.724603644329186)
107,108.0,BCC006,6.0,Big Chico Creek,C2VSIM Node near USGS Gage - 11384200,131,270,,CH,STM,11384200,BCC,6.0,SAC,POINT (-121.86100186426552 39.72706275411662)
108,109.0,BCC012,12.0,Big Chico Creek,C2VSIM Node near USGS Gage - 11384004,132,269,,CH,SG,11384004 / DWR A0-4250 (BIC),BCC,12.0,SAC,POINT (-121.77893272475329 39.76716880281509)
109,110.0,STN004,3.69,Stony Creek,Glenn-Colusa Canal crossing C2VSIM Node,128,267,,CH,STM,,STN,4.0,SAC,POINT (-122.00780920221202 39.71092599393202)
110,111.0,STN009,9.0,Stony Creek,C2VSIM Node,127,266,,CH,STM,,STN,9.0,SAC,POINT (-122.08456698565227 39.73968757051535)
111,112.0,STN014,14.0,Stony Creek,0.6mi upstream of Tehama-Colusa Canal crossing. C2VSIM Node,126,265,,CH,STM,,STN,14.0,SAC,POINT (-122.16429371833983 39.75735996516115)
112,113.0,STN021,20.92,Stony Creek,North Canal diversion. C2VSIM/CalSim2 Node,125,264,65,CH,STM,,STN,21.0,SAC,POINT (-122.26382569679967 39.79799279708838)
113,114.0,STN026,25.63,Stony Creek,South Canal diversion. C2VSIM/CalSim2 Node,124,263,60,CH,SG,11388000,STN,26.0,SAC,POINT (-122.33212971495217 39.81404588920879)
114,115.0,BLKBT,26.0,Stony Creek,Black Butte Reservoir,,,,STR,SIM,,,,SAC,POINT (-122.33899841459814 39.81438209583824)
115,116.0,SGRGE,49.0,Stony Creek,Stony Gorge Reservoir,,,,STR,SIM,,,,SAC,POINT (-122.53242414990041 39.585790523136254)
116,117.0,EPARK,66.93,Stony Creek,East Park Reservoir,,,,STR,SIM,,,,SAC,POINT (-122.51550578768082 39.356909683798385)
117,118.0,BSL001,0.61,Butte Slough,Actually Butte Slough.  C2VSIM Node,263,292,,CH,STM,,BSL,1.0,SAC,POINT (-121.9284918275497 39.198733660623084)
118,119.0,BTC003,3.39,Butte Creek,"C2VSIM Node.  Schematic shows BGD drain conluence here, but it should be at BTC007",255,291,136,CH,STM,,BTC,3.0,SAC,POINT (-121.94694959372093 39.23927813176774)
119,120.0,BTC007,7.27,Butte Creek,Actual confluence with Cherokee Canal/Biggs-West Gridley Drain,242,290,135,CH,STM,,BTC,7.0,SAC,POINT (-121.9217305141978 39.285502514616404)
120,121.0,BTC012,12.31,Butte Creek,Confluence with Angel Slough.,,,,CH,STM,,BTC,12.0,SAC,POINT (-121.89622446058951 39.337799742458095)
121,122.0,BTC018,18.0,Butte Creek,C2VSIM Node,204,288,,CH,STM,,BTC,18.0,SAC,POINT (-121.88492646454634 39.40318022170777)
122,123.0,BTC024,24.0,Butte Creek,Schematic incorrectly calls this the confluence with Western Canal??.  Actually Western Canal confluence occurs at ~ mile 31.5.  C2VSIM Node,188,287,,CH,STM,,BTC,24.0,SAC,POINT (-121.87182404544396 39.472062641725714)
123,124.0,BTC029,29.0,Butte Creek,C2VSIM Node.  Around 2.5mi downstream of actual confluence with Western Canal??,173,286,,CH,STM,,BTC,29.0,SAC,POINT (-121.85691937983037 39.532090051049366)
124,125.0,BTC032,31.58,Butte Creek,C2VSIM/CalSim2 Node.  Return flow from Durham ID (or is it Dayton MWC). Gage Butte Creek below Western Canal.,157,285,221,CH,SG,DWR A0-4158,BTC,32.0,SAC,POINT (-121.8290478175744 39.562278019297075)
125,126.0,BTC036,36.12,Butte Creek,Adams and Gorrill Dams. C2VSIM/CalSim2 Node.,147,285,217,CH,STM,,BTC,36.0,SAC,POINT (-121.77942184239897 39.61311684153664)
126,127.0,BTC048,47.61,Butte Creek,Butte Creek near Chicol,,,,CH,SG,11390000,BTC,48.0,SAC,POINT (-121.70842907104675 39.72578417309424)
127,128.0,FTR003,3.0,Feather River,C2VSIM Node,340,365,,CH,STM,,FTR,3.0,SAC,POINT (-121.64106193430068 38.82421913584881)
128,129.0,FTR008,8.0,Feather River,Miscelaneous Riparian Diverters. C2VSIM Node near USGS Gage - 11425000,329,363,223,CH,SG,11425000,FTR,8.0,SAC,POINT (-121.60733939132248 38.889257693576745)
129,130.0,FTR012,12.42,Feather River,Confluence with Bear River. C2VSIM Node,330,356,205,CH,STM,,FTR,12.0,SAC,POINT (-121.58017376587522 38.94024375151588)
130,131.0,FTR014,13.53,Feather River,Garden Highway MWC Pumps.,,,,CH,STM,,FTR,14.0,SAC,POINT (-121.58006299394724 38.95583458122494)
131,132.0,FTR016,15.72,Feather River,Feather Water District Pump Station #2. C2VSIM Node.,318,355,,CH,STM,,FTR,16.0,SAC,POINT (-121.58887706260907 38.98590470017668)
132,133.0,FTR018,18.37,Feather River,Tudor MWC Pumps,,,,CH,STM,,FTR,18.0,SAC,POINT (-121.59693792615411 39.01110503312177)
133,134.0,FTR021,21.26,Feather River,Feather WD Pump Station #1,307,354,,CH,STM,,FTR,21.0,SAC,POINT (-121.60914351924592 39.045346779120266)
134,135.0,FTR025,25.09,Feather River,C2VSIM Node,295,353,,CH,STM,A-0-5125,FTR,25.0,SAC,POINT (-121.59289888652494 39.094997868602775)
135,136.0,FTR031,30.38,Feather River,,,,,CH,STM,11407700,FTR,31.0,SAC,POINT (-121.61180417004459 39.16165143341583)
136,137.0,FTR028,27.73,Feather River,Confluence with Yuba River.,,,,CH,STM,,FTR,28.0,SAC,POINT (-121.59813403343541 39.12704676265679)
137,138.0,FTR036,36.0,Feather River,C2VSIM Node,246,347,,CH,STM,,FTR,36.0,SAC,POINT (-121.6141939520229 39.2141930931128)
138,139.0,FTR045,44.81,Feather River,Confluence with Honcut Creek. C2VSIM Node.,232,346,,CH,STM,,FTR,45.0,SAC,POINT (-121.62477337962909 39.29461765604544)
139,140.0,FTR039,39.36,Feather River,Sunset Pumps,,,,CH,STM,,FTR,39.0,SAC,POINT (-121.63588780427479 39.24778627535004)
140,141.0,FTR048,48.0,Feather River,C2VSIM Node,208,345,,CH,STM,,FTR,48.0,SAC,POINT (-121.63224887739234 39.33191059785503)
141,142.0,BTC043,42.92,Butte Creek,Durham Mutual Dam,143,283,,CH,STM,,BTC,43.0,SAC,POINT (-121.77603941742574 39.702272417600014)
142,143.0,FTR053,53.0,Feather River,C2VSIM Node,192,344,,CH,STM,,FTR,53.0,SAC,POINT (-121.63312944024268 39.382072178832104)
143,144.0,FTR059,59.16,Feather River,Thermalito Afterbay Outlet. C2VSIM/CalSim2 Node near USGS Gages - 11406920/11406870,177,343,203,CH,STM,,FTR,59.0,SAC,POINT (-121.63638531027102 39.455032535421)
144,145.0,FTR063,63.0,Feather River,Return flow from Oroville WWTP. C2VSIM Node,161,342,,CH,STM,,FTR,63.0,SAC,POINT (-121.57985803590354 39.480188634107684)
145,146.0,FTR068,67.59,Feather River,Power Canal Diversion to Thermalito Forerbay. C2VSIM/CalSim2 Node near Gage - 11406825,162,341,200,CH,STM,11406825,FTR,68.0,SAC,POINT (-121.54619751848377 39.52873712169313)
146,147.0,OROVL,72.35,Feather River,Lake Oroville,,,S6,STR,SIM,,,,SAC,POINT (-121.4838329321513 39.537840666506256)
147,148.0,FTR074,74.0,Feather River,,,,,CH,STM,11405200,FTR,74.0,SAC,POINT (-121.46645416718883 39.556973855662456)
148,149.0,YUB003,3.0,Yuba River,Ellis Lake diversion (exact location unknown)??,,,,CH,STM,,YUB,3.0,SAC,POINT (-121.56312373713014 39.15180348008725)
149,150.0,YUB006,6.0,Yuba River,Yuba River near Marysville.  C2VSIM Node.,284,350,,CH,SG,11421000 / DWR A0-6150,YUB,6.0,SAC,POINT (-121.52518814835028 39.175540093658945)
150,151.0,YUB011,11.31,Yuba River,Daguerre Point Dam.  C2VSIM/CalSim2 Node near USGS Gage - 11420800,285,349,230,CH,STM,11420800,YUB,11.0,SAC,POINT (-121.44438666769982 39.20880357408787)
151,152.0,YUB013,13.0,Yuba River,Confluence with French Dry Creek.,,,,CH,STM,,YUB,13.0,SAC,POINT (-121.4165260725136 39.21859432988879)
152,153.0,YUB014,13.3,Yuba River,Confluence with French Dry Creek.,,,231,CH,STM,,YUB,14.0,SAC,POINT (-121.41120043277564 39.21928684999632)
153,154.0,YUB023,22.68,Yuba River,Confluence with Deer Creek.,,,,CH,STM,,YUB,23.0,SAC,POINT (-121.28021836843014 39.230390187552736)
154,155.0,YUB024,23.44,Yuba River,CalSim2 Node near USGS Gage - 11418000,,,232,CH,SG,11418000,YUB,24.0,SAC,POINT (-121.27358037564882 39.2350489890032)
155,156.0,ENGLB,23.86,Yuba River,Englebright Lake,,,237,STR,SIM,,,,SAC,POINT (-121.26897991119533 39.23980449084739)
156,157.0,FDC006,6.0,French Dry Creek,CalSim2 Node downstream of USGS Gage - 11420700,,,I_231,CH,STM,11420700,FDC,6.0,SAC,POINT (-121.34085998297172 39.26155769320252)
157,158.0,MERLC,12.39,French Dry Creek,Merle Collins Reservoir near USGS Gage - 11420500,,,,STR,NSM,11420500,,,SAC,POINT (-121.31322588750118 39.323264930673375)
158,159.0,BRR004,4.0,Bear River,C2VSIM/CalSim2 Node.,331,360,282,CH,STM,,BRR,4.0,SAC,POINT (-121.53585130245995 38.971569520601484)
159,160.0,BRR017,16.88,Bear River,Bear River Fish Release below Camp Far West Reservoir near Wheatland. Camp Far West Diversion Dam (South Sutter Canal). C2VSIM/CalSim2 Node.,333,358,285,CH,SG,11423800,BRR,17.0,SAC,POINT (-121.33202635372746 39.042088569343036)
